video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=mkjAhlvld68&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CBSMornings,CBS Mornings,"Hong Kong protesters barricaded: ""This university is not the last battle""",80K,6 years,Around 100 pro-democracy protesters are barricaded inside a Hong Kong university in a tense standoff with police. They're facing ...,2026-01-22 02:51:07.519165
/watch?v=18xrGGGzY-s&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@VOANews,Voice of America,New US Legislation to Support Hong Kong Protesters Draws Angry Rebuke from China,14K,6 years,China is barring American Navy ships and military aircraft from visiting Hong Kong in retaliation for the Hong Kong Human Rights ...,2026-01-22 02:51:07.519982
/watch?v=IiBgwx9vQIA&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@APArchive,AP Archive,HK protest marks 2019 attack on democracy activists,365,5 years,(21 Jul 2020) People gathered at a mall in northwest Hong Kong to commemorate the first anniversary of a mob attack on ...,2026-01-22 02:51:07.520656
/watch?v=TLHvObUCJ2M&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@France24_en,FRANCE 24 English,"Hong Kong protests, four months on",695,6 years,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2026-01-22 02:51:07.521484
/watch?v=KKx3JwPFrek&t=1s&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CNBCtelevision,CNBC Television,Hong Kong protests: General strike paralyzes city as clashes with police intensify,2.2K,6 years,"Protests and a general strike have paralyzed Hong Kong. The city's chief executive, Carrie Lam, warned of a 'very dangerous ...",2026-01-22 02:51:07.522586
/watch?v=U1lge3zET-Y&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWnSBwkJhwoBhyohjO8%3D,/@APArchive,AP Archive,Hong Kong protesters attack taxi with sticks,2.2K,6 years,"(29 Sep 2019) Hong Kong protesters were seen attacking an abandoned taxi in Wan Chai area on Sunday, as tensions continued ...",2026-01-22 02:51:07.523376
/watch?v=igr3DKX_sWM&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWnSBwkJhwoBhyohjO8%3D,/@France24_en,FRANCE 24 English,"Hong Kong protests: ""These protesters see China as a bulldozer""",5.6K,6 years,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2026-01-22 02:51:07.525132
/watch?v=T5bDZEKtAfE&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@BBCNews,BBC News,Hong Kong protests: Airport cancels flights as thousands occupy - BBC News,40K,6 years,"The BBC's Stephen McDonell is in Hong Kong International Airport where departing flights has been cancelled , as ...",2026-01-22 02:51:07.525852
/watch?v=HiMymU6SbNc&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@FoxNews,Fox News,"Demonstrators surround government buildings in Hong Kong, protest against extradition bill",162K,6 years,Hong Kong residents block roads in new protest; Connell McShane reports.,2026-01-22 02:51:07.526571
/watch?v=ujz9WnJa5MQ&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@ITVNews,ITV News,China blames the West for Hong Kong protests after more violent clashes | ITV News,16K,6 years,"China has blamed Western forces for demonstrations in Hong Kong, following another weekend of violent clashes between ...",2026-01-22 02:51:07.527395
/watch?v=ze-kp9lAxqg&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@markets,Bloomberg Television,Hong Kong Protesters Shut Down the MTR Again,12K,6 years,"Oct.14 -- Hong Kong's subway system has closed early for more than a week, cutting off the main mode of transportation for ...",2026-01-22 02:51:07.528728
/watch?v=BC8uY4pNBns&t=2s&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CBSNews,CBS News,Beijing officials condemn Hong Kong protests in rare press conference,8.8K,6 years,Beijing officials spoke out about the growing unrest in Hong Kong for the first time at a press conference on Monday. The territory ...,2026-01-22 02:51:07.529731
/watch?v=oc_jMw8PZOg&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CNN,CNN,Hong Kong protests over extradition bill continue,67K,6 years,Thousands of protesters in Hong Kong gathered outside the city's police headquarters demanding the government scrap a bill that ...,2026-01-22 02:51:07.530705
/watch?v=A1XfRAWgFqY&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@abc7news,ABC7 News Bay Area,College students clash over 'Lennon Wall' for Hong Kong protests,8.3K,6 years,"In response to the protests in Hong Kong, so-called ""John Lennon Walls"" -- filled with sticky notes showing solidarity with the ...",2026-01-22 02:51:07.531489
/watch?v=bScglx8Mgtc&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@SkyNews,Sky News,Protesters in Hong Kong battle police over extradition bill,666K,6 years,Hong Kong police fired pepper spray and tear gas at protesters angry about an extradition bill that would allow people to be sent ...,2026-01-22 02:51:07.532187
/watch?v=hqD07YE9EOM&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@AssociatedPress,Associated Press,Aerial footage of Hong Kong protests,3.5K,6 years,"Thousands of protesters blocked entry to Hong Kong's government headquarters on Wednesday, delaying a legislative session ...",2026-01-22 02:51:07.532852
/watch?v=-7_GQXPysNE&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CNN,CNN,CHINA: HONG KONG - PROTESTERS CONFRONT POLICE,314,9 years,"Scuffles as protest opponents try to tear down Hong Kong barricades. To License This Clip, Click Here: ...",2026-01-22 02:51:07.533529
/watch?v=2j0UyrHr9DI&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CNBCtelevision,CNBC Television,"Dodwell: Congressional support of Hong Kong protesters ""can't really be seen as helpful""",4.8K,6 years,"... Trade Policy Group, discusses US-China relations after House lawmakers passed legislation supporting Hong Kong protests.",2026-01-22 02:51:07.534429
/watch?v=7sTE21XwTnw&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@FoxBusiness,Fox Business,Could the Hong Kong protests impact US-China trade talks?,19K,6 years,'The Coming Collapse of China' author Gordon Chang on the protests in Hong Kong and their impact on U.S. trade talks with ...,2026-01-22 02:51:07.535150
