video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=94eOV3v8Azk&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@channelnewsasia,CNA,Protesters stage sit-in at Hong Kong airport,43K,6 years,"In Hong Kong, more than a thousand protesters staged a sit-in at the airport on Jul 26, as the city braced for another weekend of ...",2026-01-22 02:55:47.586561
/watch?v=g4Z9viG7pLM&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n0gcJCYcKAYcqIYzv,/@VOANews,Voice of America,"Latest Hong Kong Protests End with Tear Gas, Rock Throwing",34K,6 years,"Hong Kong protests devolved into violence for a second consecutive night Sunday, with police firing tear gas to disperse ...",2026-01-22 02:55:47.589207
/watch?v=k3GnTE7x5S4&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@euronews,euronews,Hong Kong protests mark fifth anniversary of the Umbrella Movement,4.7K,6 years,And a series of protests for and against Communist Party rulers in Beijing is also planned for the Chinese-ruled city ahead of the ...,2026-01-22 02:55:47.593264
/watch?v=igr3DKX_sWM&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@France24_en,FRANCE 24 English,"Hong Kong protests: ""These protesters see China as a bulldozer""",5.6K,6 years,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2026-01-22 02:55:47.596188
/watch?v=amQ1uRta3lw&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@TheYoungTurks,The Young Turks,Hong Kong Protestors Stand Up in 2019,9.6K,6 years,"Cenk Uygur, Ana Kasparian, and John Iadarola discuss the protestors in Hong Kong on TYT's 2019 Turks and Jerks special.",2026-01-22 02:55:47.598413
/watch?v=q4wbx9hIN4E&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@laowhy86,laowhy86,The Hong Kong Protests are DESTROYING My Family,368K,6 years,Protect Yourself Today! Go to http://NordVPN.com/Laowhy86 for 75% off of a 3 Year Plan! Use code LAOWHY86 for 1 month free!,2026-01-22 02:55:47.600091
/watch?v=vIUZUvNgQl0&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@VOANews,Voice of America,Hong Kong Riot Police in Plain Clothes Clash with Protesters,832K,6 years,"Riot police in plain clothes clashed with protesters in a shopping mall, Hong Kong, Sunday, November 10. Protesters threw ...",2026-01-22 02:55:47.602002
/watch?v=G_XYKt4MLEk&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@cgtnamerica,CGTN America,Qinduo Xu on Hong Kong protests,2.7K,6 years,Hong Kong is starting to return to normal two days after a massive protest against a controversial extradition bill. Qinduo Xu is a ...,2026-01-22 02:55:47.603327
/watch?v=gwxiezDR1dg&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@dwnews,DW News,Hong Kong pro-democracy and pro-Beijing protesters clash at mall | DW News,86K,6 years,A pro-democracy protest in Hong Kong was disrupted by pro-Beijing counter-demonstrators waving Chinese flags. The sit-in at a ...,2026-01-22 02:55:47.605157
/shorts/5gLrQ5lWBm0,/@Rappler,Rappler,Hong Kong protesters defy police again and begin banned march,1.5K,6 years,Subscribe: https://www.youtube.com/@Rappler/ More videos on Rappler: https://www.rappler.com/video Follow Rappler for the ...,2026-01-22 02:55:47.608339
/watch?v=K1FAo8gcO_8&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n0gcJCYcKAYcqIYzv,/@ExploreMode,Explore Mode,"Hong Kong Protests: What do they want? | Hong Kong Protests, explained | EXPLORE MODE",6.9K,6 years,"CLARIFICATION*** 05:28 - Hong Kong Island, Kowloon, and The New Territories are separate regions. Hong Kong Island and ...",2026-01-22 02:55:47.612137
/watch?v=wn0flGvlFDo&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@SouthChinaMorningPost,South China Morning Post,How foreign politicians reacted to Hong Kong's violent protests,25K,6 years,Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube Foreign politicians have reacted to violent ...,2026-01-22 02:55:47.616887
/watch?v=FVDoNje7Ay0&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@CNBCtelevision,CNBC Television,Ferguson: Taiwan watching Hong Kong protests closely as elections approach,14K,6 years,"Niall Ferguson, senior fellow at the Hoover Institution at Stanford University, joins CNBC's ""Closing Bell"" to talk about the Hong ...",2026-01-22 02:55:47.618450
/watch?v=ZQhr6fkLMJE&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@France24_en,FRANCE 24 English,"Hong Kong: ""Protests will continue""",12K,6 years,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2026-01-22 02:55:47.620314
/watch?v=vxSV1Mv1OKs&pp=ygUhaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgSG9uZyBLb25n,/@straitstimesonline,The Straits Times,THE BIG STORY: Hong Kong protests affecting tourism and economy (05/08/19),76K,6 years,The Straits Times' foreign editor Jeremy Au Yong discusses how Hong Kong's nine-week protests have affected the city's tourism ...,2026-01-22 02:55:47.621689
